@0.0000#0.0000,90.0000,0.0000,0.0000,0.0000,0.0000,0.0000
@0.0200#0.0000,90.0000,0.0000,0.0000,0.0000,0.0000,0.0000
@0.1715#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.1847#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.1937#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2054#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2129#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2237#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2352#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2459#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2572#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2686#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.2792#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.4486#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.4581#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.4693#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.4804#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.4913#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5025#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5137#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5252#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5365#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5474#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5585#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5700#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5813#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.5922#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6035#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6149#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6258#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6372#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6481#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6593#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6707#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6818#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.6927#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7039#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7154#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7263#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7379#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7487#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7599#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7709#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7820#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.7934#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8045#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8158#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8270#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8379#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8491#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8605#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8717#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8829#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.8938#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9057#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9165#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9272#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9388#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9500#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9608#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9719#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9834#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@0.9944#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0059#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0169#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0277#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0391#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0506#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0614#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0727#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0837#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.0952#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1064#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1175#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1287#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1395#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1511#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1619#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1733#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1843#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.1955#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.2069#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
@1.2177#0.0095,89.9906,0.0118,-0.0114,0.0168,0.0115,0.0000
